,TCAS,AcademicYear,GPA_Eng,GPA_Math,GPA_Sci,GPA_Sco,GPAX,FacultyName,StudentType,MajorName
0,5,2562,3.28198105802943,2.8263821882685782,3.0045711893674283,3.4575401601172633,3.2411058321379334,1,FOREIGN,English
1,2,2562,3.94,3.33,3.41,3.86,3.61,1,THAI,English
2,2,2562,3.75,2.3,1.75,2.82,3.04,1,THAI,English
3,1,2562,4.0,3.68,3.91,4.0,3.92,1,THAI,English
4,1,2562,3.91,2.36,3.25,3.67,3.46,1,THAI,English
5,2,2562,3.73,2.3,3.3,2.92,3.4,1,THAI,English
6,2,2562,3.6,2.73,3.05,3.33,3.22,1,THAI,English
7,1,2562,3.7,1.7,2.85,3.44,2.94,1,THAI,English
8,2,2562,4.0,3.9,3.65,4.0,3.83,1,THAI,English
9,1,2562,3.59,3.1,3.8,3.7,3.69,1,THAI,English
10,2,2562,3.94,1.2,2.0,2.61,2.52,1,THAI,English
11,1,2562,3.9,2.95,2.9,3.67,3.46,1,THAI,English
12,2,2562,3.97,3.26,3.33,3.91,3.64,1,THAI,English
13,1,2562,4.0,3.95,3.45,4.0,3.78,1,THAI,English
14,1,2562,3.56,3.4,3.7,3.7,3.63,1,THAI,English
15,1,2562,3.28198105802943,2.8263821882685782,3.0045711893674283,3.4575401601172633,2.831307920566095,1,THAI,English
16,2,2562,3.48,2.05,2.07,3.67,2.84,1,THAI,English
17,1,2562,3.92,3.06,2.41,3.28,3.09,1,THAI,English
18,2,2562,4.0,2.94,2.9,3.58,3.28,1,THAI,English
19,2,2562,3.58,2.54,2.21,3.13,2.91,1,THAI,English
20,1,2562,4.0,1.0,2.0,2.0,2.51,1,THAI,English
21,1,2562,3.97,3.36,3.12,3.85,3.57,1,THAI,English
22,1,2562,3.5,2.23,2.36,3.05,2.88,1,THAI,English
23,2,2562,3.79,3.0,2.91,3.33,3.22,1,THAI,English
24,1,2562,3.57,1.8,2.8,3.03,3.13,1,THAI,English
25,2,2562,3.36,2.7,2.36,3.08,2.79,1,THAI,English
26,2,2562,3.71,2.8,2.7,2.72,3.46,1,THAI,English
27,1,2562,3.88,3.1,2.85,3.66,3.33,1,THAI,English
28,1,2562,3.78,3.07,3.08,3.77,3.36,1,THAI,English
29,1,2562,3.57,2.09,2.7,3.73,3.3,1,THAI,English
30,2,2562,4.0,2.63,3.02,3.94,3.43,1,THAI,English
31,1,2562,3.9,2.8,3.0,3.9,3.67,1,THAI,English
32,1,2562,3.08,2.25,1.87,3.2,2.94,1,THAI,English
33,1,2562,3.65,2.03,2.6,2.85,3.14,1,THAI,English
34,1,2562,3.28,1.2,2.0,3.35,2.86,1,THAI,English
35,1,2562,3.55,2.2,2.14,2.76,2.64,1,THAI,English
36,2,2562,3.84,2.42,3.07,4.0,3.33,1,THAI,English
37,1,2562,3.41,2.66,2.63,3.3,3.09,1,THAI,English
38,1,2562,3.14,1.4,2.75,3.1,3.15,1,THAI,English
39,1,2562,3.96,3.8,3.78,3.94,3.86,1,THAI,English
40,2,2562,3.93,2.61,2.57,3.52,3.2,1,THAI,English
41,1,2562,3.9,3.1,3.58,3.52,3.64,1,THAI,English
42,1,2562,3.96,3.38,3.41,3.97,3.68,1,THAI,English
43,1,2562,4.0,4.0,3.7,3.7,3.89,1,THAI,English
44,2,2562,3.95,2.84,2.68,3.77,3.32,1,THAI,English
45,1,2562,3.62,2.3,3.0,3.6,3.29,1,THAI,English
46,1,2562,3.64,3.27,2.63,3.95,3.34,1,THAI,English
47,1,2562,3.25,1.9,2.54,2.89,2.93,1,THAI,English
48,1,2562,2.63,1.3,1.77,2.57,2.26,1,THAI,English
49,1,2562,3.95,4.0,4.0,3.91,3.96,1,THAI,English
50,1,2562,3.75,3.39,2.5,3.59,3.22,1,THAI,English
51,1,2562,4.0,2.2,2.82,3.62,3.57,1,THAI,English
52,1,2562,3.82,3.5,3.54,3.83,3.81,1,THAI,English
53,5,2562,3.81,2.41,3.75,3.26,3.6,1,THAI,English
54,5,2562,3.88,3.08,2.31,3.34,3.07,1,THAI,English
55,5,2562,2.8,1.68,2.31,2.26,2.54,1,THAI,English
56,5,2562,3.83,1.95,2.91,3.17,3.18,1,THAI,English
57,5,2562,3.82,2.16,3.16,3.34,3.5,1,THAI,English
58,5,2562,2.73,2.0,1.64,3.35,2.46,1,THAI,English
59,5,2562,4.0,2.86,3.24,3.62,3.42,1,THAI,English
60,5,2562,3.23,2.0,3.14,3.31,3.3,1,THAI,English
61,5,2562,2.86,2.5,3.2,3.02,3.0,1,THAI,English
62,5,2562,2.68,0.61,1.8,2.8,1.96,1,THAI,English
63,5,2562,3.41,2.16,3.41,3.8,3.31,1,THAI,English
64,5,2562,3.3,1.38,1.88,2.75,2.98,1,THAI,English
65,5,2562,2.98,1.91,3.12,3.19,3.09,1,THAI,English
66,5,2562,3.77,2.69,2.67,3.7,3.15,1,THAI,English
